MP name,Nature of membership,Start of term,End of term,No. of Term,Standing Committee Membership,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
K. Maragatham,Elected,18-May-14,In office,First,Social Justice & Empowerment ,Tamil Nadu,Kancheepuram,All India Anna Dravida Munnetra Kazhagam,Female,Graduate,B. Com.,35,37,0,441,82%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
K. Parasuraman,Elected,18-May-14,In office,First,Urban Development,Tamil Nadu,Thanjavur,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,B.Sc.,57,78,0,493,73%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
K.C. Patel,Elected,18-May-14,In office,First,Information Technology,Gujarat,Valsad,Bharatiya Janata Party,Male,Professional Graduate,M.B.B.S.,68,1,0,0,83%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,36.6,2,233,84%
K.H. Muniyappa,Elected,18-May-14,In office,Seventh,Railways ,Karnataka,Kolar,Indian National Congress,Male,Professional Graduate,"B.A., LL.B.; Educated at Bangalore University (Karnataka) ",70,20,0,0,79%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,42.1,0.3,315,80%
K.N. Ramachandran,Elected,18-May-14,In office,First,Human Resource Development,Tamil Nadu,Sriperumbudur,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,M.A.,62,25,0,391,73%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
K.R.P.  Prabakaran,Elected,18-May-14,In office,First,Commerce,Tamil Nadu,Tirunelveli,All India Anna Dravida Munnetra Kazhagam,Male,Professional Graduate,"B.A., B.L.",37,13,0,91,82%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
K.V. Thomas,Elected,18-May-14,In office,Fifth,Urban Development,Kerala,Ernakulam,Indian National Congress,Male,Post Graduate,"M.Sc. (Chemistry); Educated at Scared Heart College, Cochin, Kerala",71,36,0,231,76%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,118.4,3.4,360,78%
Kadiyam Srihari,Elected,18-May-14,11/06/2015,First,No,Telangana,Warangal,Telangana Rashtra Samithi,Male,Post Graduate,M.Sc.,67,5,0,0,48%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),18,0.5,70,80%,13.6,0,77,69%
Kakoli Ghosh Dastidar,Elected,18-May-14,In office,Second,Home Affairs,West Bengal,Barasat,All India Trinamool Congress,Female,Professional Post Graduate,"M.B.B.S., Post Graduate Training in Obstetric Ultrasound; Educated at Auxilium Convent, Loreto House, R. G. Kar Medical College, King's College, London",58,15,1,10,59%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Kalikesh Narayan Singh Deo,Elected,18-May-14,In office,Second,Petroleum & Natural Gas,Odisha,Bolangir,Biju Janata Dal,Male,Graduate,"B.A. (Hons.) Economics; Educated at St. Stepen`s College, Delhi University",43,16,3,396,78%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.8,187,82%
Kalraj Mishra,Elected,18-May-14,In office,First,Defence,Uttar Pradesh,Deoria,Bharatiya Janata Party,Male,Post Graduate,"M.A. Educated at Kashi Vidyapith, Varanasi",76,0,0,0,90%,"This MP was a minister till Sep 2017. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills. Participation and attendance details (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",3.6,0.2,27,80%,5.6,0.2,19,87%
Kalvakuntla Kavitha,Elected,18-May-14,In office,First,Commerce,Telangana,Nizamabad,Telangana Rashtra Samithi,Female,Professional Graduate,B.Tech.,40,38,1,243,59%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,34,1.4,260,69%
Kalyan Banerjee,Elected,18-May-14,In office,Second,"Personnel, Public Grievances, Law and Justice",West Bengal,Serampore,All India Trinamool Congress,Male,Professional Graduate,"B.Com., LL.B; Educated at Bankura Samilani College, Bankura",61,49,0,71,74%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Kamakhya Prasad Tasa,Elected,18-May-14,In office,First,Rural Development ,Assam,Jorhat,Bharatiya Janata Party,Male,Post Graduate,M.A.,42,38,0,93,73%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,43.2,0.5,135,74%
Kamal Nath,Elected,18-May-14,In office,Ninth,Commerce,Madhya Pradesh,Chhindwara,Indian National Congress,Male,Graduate,"B.Com.; Educated at St. Xavier's College, Calcutta, West Bengal",71,0,0,219,63%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,64.1,0.7,237,82%
Kamalbhan Singh Marabi,Elected,18-May-14,In office,First,Coal & Steel,Chhattisgarh,Surguja,Bharatiya Janata Party,Male,Post Graduate,M.A.,54,6,0,27,72%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,23,0.1,184,84%
Kambhampati Hari Babu,Elected,18-May-14,In office,First,Energy and Commerce,Andhra Pradesh,Visakhapatnam,Bharatiya Janata Party,Male,Doctorate,"M.E., Ph.D.",64,11,0,263,97%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,35,0.6,221,75%
Kamla Devi Patle,Elected,18-May-14,In office,Second,Chemicals & Fertilizers,Chhattisgarh,Janjgir-Champa,Bharatiya Janata Party,Female,Under Graduate,Under Graduate,51,33,0,545,81%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,23,0.1,184,84%
Kamlesh Paswan,Elected,18-May-14,In office,Second,"Food, Consumer Affairs & Public Distribution and Commerce",Uttar Pradesh,Bansgaon,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at St. Pauls School I.C.S.E. Board Gorakhpur and U.P. Board, Gorakhpur",41,13,0,35,72%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Kantilal Bhuria,Elected,27-Nov-15,In office,Fifth,Social Justice & Empowerment ,Madhya Pradesh,Ratlam,Indian National Congress,Male,Post Graduate,"M.A., LL.B.; Educated at Chandrashekhar Azad College, Distt. Jhabua, Madhya Pradesh",67,9,0,26,73%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),38,1.2,152,80%,47.9,0.2,159,82%
Kanwar Singh Tanwar,Elected,18-May-14,In office,First,Health and Family Welfare,Uttar Pradesh,Amroha,Bharatiya Janata Party,Male,Matric,10th Pass,57,21,0,312,92%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Kapil Krishna Thakur,Elected,18-May-14,13/10/2014,First,No,West Bengal,Bongaon,All India Trinamool Congress,Male,Graduate,Graduate,77,0,0,0,48%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),5.1,0.1,18,80%,3.3,0,8,65%
Kapil Moreshwar Patil,Elected,18-May-14,In office,First,Urban Development,Maharashtra,Bhiwandi,Bharatiya Janata Party,Male,Graduate,Graduate,57,48,0,402,94%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Karadi Sanganna Amarappa,Elected,18-May-14,In office,First,Agriculture,Karnataka,Koppal,Bharatiya Janata Party,Male,Inter/ Higher Secondary,S.L.C.,67,34,0,148,83%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,42.1,0.3,315,80%
Karan Singh Yadav,Elected,5-Feb-18,In office,Second,No,Rajasthan,Alwar,Indian National Congress,Male,Professional Graduate,"M.B,B.S., M.S., M.Ch.M.N.A.M.S., British Commonwealth Fellowship in C.T. Surgery; Educated at S.P. Medical College Bikaner, Christian Medical College, Vellore and National Board of Examination and Southampton General Hospital, U.K.",73,3,0,0,94%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),1.1,0,15,80%,1.6,0,18,88%
Kariya Munda,Elected,18-May-14,In office,Eighth,Social Justice & Empowerment ,Jharkhand,Khunti,Bharatiya Janata Party,Male,Post Graduate,"M.A.; Educated at Ranchi University, Ranchi, Jharkhand",81,2,0,0,96%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,73.3,5.3,354,86%
Kaushal Kishore,Elected,18-May-14,In office,First,Home Affairs,Uttar Pradesh,Mohanlalganj,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Inter/ Higher Secondary,58,34,0,164,91%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Kaushalendra Kumar,Elected,18-May-14,In office,Second,Labour ,Bihar,Nalanda,Janata Dal (United),Male,Inter/ Higher Secondary,"I.A.; Educated S.P.M. College, Udatpuri, Biharsharif, Nalanda, Bihar",60,199,0,343,96%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.7,166,88%
Keshav Prasad Maurya,Elected,18-May-14,21/09/2017,First,No,Uttar Pradesh,Phulpur,Bharatiya Janata Party,Male,Graduate,Graduate,48,122,0,158,70%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),54.2,1.6,215,80%,88.8,1.1,142,87%
Kesineni Srinivas,Elected,18-May-14,In office,First,Urban Development,Andhra Pradesh,Vijayawada,Telugu Desam Party,Male,Matric,Matric,52,26,2,272,81%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,35,0.6,221,75%
Kiren Rijiju,Elected,18-May-14,In office,Second,No,Arunachal Pradesh,Arunachal West,Bharatiya Janata Party,Male,Professional Graduate,"B.A.,LL.B. 
Educated at Hansraj College and Campus Law Centre, Faculty of Law,
University of Delhi",46,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kirit Premjibhai Solanki,Elected,18-May-14,In office,Second,Finance,Gujarat,Ahmedabad West,Bharatiya Janata Party,Male,Professional Post Graduate,"M.B.B.S., M.S. and F.I.C.S.; Educated at (i) Smt. N.H.L. Municipal Medial College and K.M. School of Post Graduate Medicine and Research, Sheth V.S. General Hospital , Ahmedabad; (ii) B.J. Medical College and Civil Hospital, Ahmedabad; and (iii) Fellow of",67,299,27,346,99%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,36.6,2,233,84%
Kirit Somaiya,Elected,18-May-14,In office,Second,Finance and Labour ,Maharashtra,Mumbai-North-East,Bharatiya Janata Party,Male,Doctorate,"B.Com., F.C.A., Ph.D. 
Educated at Bombay University, Mumbai (Maharashtra) and Institute of Chartered Accountants, Delhi",64,106,2,392,97%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Kirron Anupam Kher,Elected,18-May-14,In office,First,Home Affairs,Chandigarh,Chandigarh,Bharatiya Janata Party,Female,Post Graduate,M.A(English Literature),65,33,1,264,85%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,33,1,264,85%
Kirti (Jha) Azad,Elected,18-May-14,In office,Third,Rural Development ,Bihar,Darbhanga,Bharatiya Janata Party,Male,Graduate,"B.A. (Hons.) History; Educated at St. Stephen's College, University of Delhi, Delhi",59,25,4,390,96%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.7,166,88%
Kirti Vardhan Singh,Elected,18-May-14,In office,Third,"Chemicals & Fertilizers and Science & Technology, Environment & Forests",Uttar Pradesh,Gonda,Bharatiya Janata Party,Male,Post Graduate,"M.Sc. (Geology) 
Educated at Lucknow University, Lucknow, Uttar Pradesh",52,11,0,107,78%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Konakalla Narayana Rao,Elected,18-May-14,In office,Second,Agriculture,Andhra Pradesh,Machilipatnam,Telugu Desam Party,Male,Inter/ Higher Secondary,,67,1,0,139,82%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,35,0.6,221,75%
Konda Vishweshwar Reddy,Elected,18-May-14,In office,First,Industry,Telangana,Chelvella,Telangana Rashtra Samithi,Male,Professional Graduate,Engineering,58,58,1,199,97%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,34,1.4,260,69%
Kotha Prabhakar Reddy,Elected,16-Sep-14,In office,First,Chemicals & Fertilizers,Telangana,Medak,Telangana Rashtra Samithi,Male,Graduate,"B.A., Govt. Degree College, Siddipet, Medak. A.P. from Osmania University",52,20,0,320,58%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),52.7,1.7,224,80%,30.1,1.4,241,69%
Kothapalli Geetha,Elected,18-May-14,In office,First,Human Resource Development,Andhra Pradesh,Araku,Yuvajana Sramika Rythu Congress Party,Female,Post Graduate,"M.A.(Pub. Ad., Sociology)",47,82,0,580,97%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,35,0.6,221,75%
Krishan Pal,Elected,18-May-14,In office,First,No,Haryana,Faridabad,Bharatiya Janata Party,Male,Professional Graduate,B.A. LL.B.,61,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Krishna Pratap K.P.,Elected,18-May-14,In office,First,Chemicals & Fertilizers,Uttar Pradesh,Jaunpur,Bharatiya Janata Party,Male,Doctorate,Ph.D.,41,5,0,82,93%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Krishna Raj,Elected,18-May-14,In office,First,No,Uttar Pradesh,Shahjahanpur,Bharatiya Janata Party,Female,Post Graduate,M.A.,51,50,0,68,96%,"This MP was appointed a minister in Jul 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till May 2016. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",35.2,1,136,80%,51.9,0.7,82,87%
Kristappa Nimmala,Elected,18-May-14,In office,Second,"Transport, Tourism and Culture",Andhra Pradesh,Hindupur,Telugu Desam Party,Male,Graduate,"B.Com.; Educated at Osmania College, Kurnool",61,14,0,188,87%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,35,0.6,221,75%
Krupal Balaji Tumane,Elected,18-May-14,In office,First,Coal & Steel,Maharashtra,Ramtek,Shiv Sena,Male,Graduate,B.Sc,52,41,0,385,87%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Kulamani Samal,Elected,18-May-14,In office,First,Chemicals & Fertilizers,Odisha,Jagatsinghpur,Biju Janata Dal,Male,Professional Graduate,M.B.B.S.,69,123,0,110,100%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.8,187,82%
Kunwer Sarvesh Kumar,Elected,18-May-14,In office,First,Energy,Uttar Pradesh,Moradabad,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Intermediate,66,0,0,102,80%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Ladu Kishore Swain,Elected,18-May-14,In office,First,Rural Development ,Odisha,Aska,Biju Janata Dal,Male,Graduate,B.A.,70,15,0,49,96%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.8,187,82%
Lakhan Lal Sahu,Elected,18-May-14,In office,First,Railways ,Chhattisgarh,Bilaspur,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.B.",46,71,0,165,87%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,23,0.1,184,84%
Lal Krishna Advani,Elected,18-May-14,In office,Seventh,Information Technology,Gujarat,Gandhinagar,Bharatiya Janata Party,Male,Professional Graduate,"Law Graduate; Educated at St. Patricks High School, Karachi, D.G. National College, Hyderabad, Sindh (now in Pakistan) and Government Law College, Mumbai (Maharashtra) ",90,1,0,0,92%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,36.6,2,233,84%
Lallu Singh,Elected,18-May-14,In office,First,Water Resources ,Uttar Pradesh,Faizabad,Bharatiya Janata Party,Male,Professional Graduate,LL.B.,63,21,0,223,93%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Lalubhai Babubhai Patel,Elected,18-May-14,In office,Second,Home Affairs,Daman and Diu,Daman and Diu,Bharatiya Janata Party,Male,Matric,"Shree Somnath Kolvani Mandal High School, Dabhol, Daman",62,5,0,21,75%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,5,0,21,75%
